clasificador,n_estimators,max_depth,max_features,bootstrap,weight_color,f1_score
RF,200,20.0,sqrt,True,0.7,0.669190811706627
RF,200,20.0,sqrt,True,0.8,0.6636980237450192
RF,200,20.0,sqrt,False,0.2,0.6813558051440392
RF,200,20.0,sqrt,False,0.3,0.6830061556885514
RF,200,20.0,sqrt,False,0.4,0.6843447397187482
RF,200,20.0,sqrt,False,0.5,0.6840756685233924
RF,200,20.0,sqrt,False,0.6,0.6821462963083693
RF,200,20.0,sqrt,False,0.7,0.6811559858956454
RF,200,20.0,sqrt,False,0.8,0.6744671561708028
RF,200,20.0,log2,True,0.2,0.6764635667822849
RF,200,20.0,log2,True,0.3,0.6775350851678812
RF,200,20.0,log2,True,0.4,0.6778899267024747
RF,200,20.0,log2,True,0.5,0.679385971628981
RF,200,20.0,log2,True,0.6,0.6704006430896967
RF,200,20.0,log2,True,0.7,0.6635468081907141
RF,200,20.0,log2,True,0.8,0.6503737349032859
RF,200,20.0,log2,False,0.2,0.6811863377543819
RF,200,20.0,log2,False,0.3,0.6840515818190437
RF,200,20.0,log2,False,0.4,0.6837202958881645
RF,200,20.0,log2,False,0.5,0.683885270137064
RF,200,20.0,log2,False,0.6,0.6757201159304833
RF,200,20.0,log2,False,0.7,0.671051219537502
RF,200,20.0,log2,False,0.8,0.6595651022127335
RF,200,20.0,0.5,True,0.2,0.68176349310466
RF,200,20.0,0.5,True,0.3,0.6820310932515992
RF,200,20.0,0.5,True,0.4,0.6877243297370763
RF,200,20.0,0.5,True,0.5,0.6858014573553338
RF,200,20.0,0.5,True,0.6,0.6829401751011474
RF,200,20.0,0.5,True,0.7,0.6789700358899731
RF,200,20.0,0.5,True,0.8,0.6666931927985984
RF,200,20.0,0.5,False,0.2,0.6833720866341231
RF,200,20.0,0.5,False,0.3,0.6889452131195484
RF,200,20.0,0.5,False,0.4,0.6923842965790179
RF,200,20.0,0.5,False,0.5,0.6894600147326255
RF,200,20.0,0.5,False,0.6,0.6834386964124758
RF,200,20.0,0.5,False,0.7,0.6742061638686172
RF,200,20.0,0.5,False,0.8,0.6627100203498237
RF,200,30.0,sqrt,True,0.2,0.6714953212245857
RF,200,30.0,sqrt,True,0.3,0.6784849554213623
RF,200,30.0,sqrt,True,0.4,0.6788660326816043
RF,200,30.0,sqrt,True,0.5,0.6772295071110188
RF,200,30.0,sqrt,True,0.6,0.6728746955165223
RF,200,30.0,sqrt,True,0.7,0.6646977540438785
RF,200,30.0,sqrt,True,0.8,0.6572404264514199
RF,200,30.0,sqrt,False,0.2,0.6853785377140619
RF,200,30.0,sqrt,False,0.3,0.6871293754034279
RF,200,30.0,sqrt,False,0.4,0.6896098072567783
RF,200,30.0,sqrt,False,0.5,0.6898124317669014
RF,200,30.0,sqrt,False,0.6,0.6824713027922134
RF,200,30.0,sqrt,False,0.7,0.6753051004000526
RF,200,30.0,sqrt,False,0.8,0.6667168115134293
RF,200,30.0,log2,True,0.2,0.6742273703333382
RF,200,30.0,log2,True,0.3,0.6775112609805791
RF,200,30.0,log2,True,0.4,0.6759978959604263
RF,200,30.0,log2,True,0.5,0.6778754706178488
RF,200,30.0,log2,True,0.6,0.6754984279931294
RF,200,30.0,log2,True,0.7,0.6699330383610802
RF,200,30.0,log2,True,0.8,0.6593231293333919
RF,200,30.0,log2,False,0.2,0.686048435900185
RF,200,30.0,log2,False,0.3,0.6866329594828351
RF,200,30.0,log2,False,0.4,0.6862014644772416
RF,200,30.0,log2,False,0.5,0.6772227490661137
RF,200,30.0,log2,False,0.6,0.6834800896654606
RF,200,30.0,log2,False,0.7,0.6767962429507797
RF,200,30.0,log2,False,0.8,0.6644946466290977
RF,200,30.0,0.5,True,0.2,0.6795172940849092
RF,200,30.0,0.5,True,0.3,0.6849638029497478
RF,200,30.0,0.5,True,0.4,0.6864448536601824
RF,200,30.0,0.5,True,0.5,0.6824873290684919
RF,200,30.0,0.5,True,0.6,0.6775797749480972
RF,200,30.0,0.5,True,0.7,0.679980054636035
RF,200,30.0,0.5,True,0.8,0.6693655807032582
RF,200,30.0,0.5,False,0.2,0.679766155597926
RF,200,30.0,0.5,False,0.3,0.6843911201577607
RF,200,30.0,0.5,False,0.4,0.6883450089317071
RF,200,30.0,0.5,False,0.5,0.6875326415943787
RF,200,30.0,0.5,False,0.6,0.6801153754677285
RF,200,30.0,0.5,False,0.7,0.6773913814012514
RF,200,30.0,0.5,False,0.8,0.6677524791584458
RF,300,,sqrt,True,0.2,0.675971954649364
RF,300,,sqrt,True,0.3,0.6827248562829591
RF,300,,sqrt,True,0.4,0.6804466174783784
RF,300,,sqrt,True,0.5,0.6822530730875443
RF,300,,sqrt,True,0.6,0.6781125362469674
